instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0,,0.0,0.0,0,EQ,INDICES,NSE
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0,,0.0,0.0,0,EQ,INDICES,NSE
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0,,0.0,0.0,0,EQ,INDICES,NSE
268041,1047,NIFTY 500,NIFTY 500,0,,0.0,0.0,0,EQ,INDICES,NSE
268297,1048,NIFTY CPSE,NIFTY CPSE,0,,0.0,0.0,0,EQ,INDICES,NSE
268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0,,0.0,0.0,0,EQ,INDICES,NSE
268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0,,0.0,0.0,0,EQ,INDICES,NSE
269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0,,0.0,0.0,0,EQ,INDICES,NSE
269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0,,0.0,0.0,0,EQ,INDICES,NSE
269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0,,0.0,0.0,0,EQ,INDICES,NSE
269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0,,0.0,0.0,0,EQ,INDICES,NSE
270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0,,0.0,0.0,0,EQ,INDICES,NSE
270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0,,0.0,0.0,0,EQ,INDICES,NSE
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0,,0.0,0.0,0,EQ,INDICES,NSE
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0,,0.0,0.0,0,EQ,INDICES,NSE
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0,,0.0,0.0,0,EQ,INDICES,NSE
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0,,0.0,0.0,0,EQ,INDICES,NSE
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0,,0.0,0.0,0,EQ,INDICES,NSE
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0,,0.0,0.0,0,EQ,INDICES,NSE
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0,,0.0,0.0,0,EQ,INDICES,NSE
273417,1068,MCXGOLDEX,MCXGOLDEX,0,,0.0,0.0,1,EQ,INDICES,MCX
273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0,,0.0,0.0,0,EQ,INDICES,NSE
274185,1071,AUTO,BSE INDEX AUTO,0,,0.0,0.0,0,EQ,INDICES,BSE
274697,1073,BASMTR,BSE INDEX BASMTR,0,,0.0,0.0,0,EQ,INDICES,BSE
274953,1074,BHRT22,BSE INDEX BHRT22,0,,0.0,0.0,0,EQ,INDICES,BSE
275209,1075,BSE CD,BSE INDEX BSE CD,0,,0.0,0.0,0,EQ,INDICES,BSE
275465,1076,BSE CG,BSE INDEX BSE CG,0,,0.0,0.0,0,EQ,INDICES,BSE
275721,1077,BSE HC,BSE INDEX BSE HC,0,,0.0,0.0,0,EQ,INDICES,BSE
275977,1078,BSE IT,BSE INDEX BSE IT,0,,0.0,0.0,0,EQ,INDICES,BSE
276233,1079,BSE100,BSE INDEX BSE100,0,,0.0,0.0,0,EQ,INDICES,BSE
276489,1080,BSE200,BSE INDEX BSE200,0,,0.0,0.0,0,EQ,INDICES,BSE
276745,1081,BSE500,BSE INDEX BSE500,0,,0.0,0.0,0,EQ,INDICES,BSE
277001,1082,BSEDSI,BSE INDEX BSEDSI,0,,0.0,0.0,0,EQ,INDICES,BSE
277257,1083,BSEEVI,BSE INDEX BSEEVI,0,,0.0,0.0,0,EQ,INDICES,BSE
277513,1084,BSEFMC,BSE INDEX BSEFMC,0,,0.0,0.0,0,EQ,INDICES,BSE
277769,1085,BSEIPO,BSE INDEX BSEIPO,0,,0.0,0.0,0,EQ,INDICES,BSE
278025,1086,BSELVI,BSE INDEX BSELVI,0,,0.0,0.0,0,EQ,INDICES,BSE
278281,1087,BSEMOI,BSE INDEX BSEMOI,0,,0.0,0.0,0,EQ,INDICES,BSE
278537,1088,BSEPBI,BSE INDEX BSEPBI,0,,0.0,0.0,0,EQ,INDICES,BSE
278793,1089,BSEPSU,BSE INDEX BSEPSU,0,,0.0,0.0,0,EQ,INDICES,BSE
